Component,testmetric,unit,ptopo,ltopo,baseline,,"Values for different builds",,,,,,,,,,,,,,
ESX-DP,test_udp_stream_vm1_m64_FPS,FPS,hv-hv,LS.overlay.teaming,641219,,634256,630186,625429,736588,631361,636543,639365,631405,709798,635589,288663,285701,720023,612397,641219
ESX-DP,test_udp_stream_vm8_m1024_FPS,FPS,hv-hv,LS.overlay.teaming,2078162,,2116623,2065901,2091761,2140771,2096191,2088983,2064063,2126478,2109744,2119187,2088454,2108766,2128126,2111551,2078162
ESX-DP,test_udp_stream_vm8_m256_FPS,FPS,hv-hv,LS.overlay.teaming,4220156,,4170041,3800358,3710741,3549633,3817094,4279887,4186132,4193842,3702554,4213539,2275270,2266604,3582647,4104117,4220156
ESX-DP,test_udp_stream_vm8_m64_FPS,FPS,hv-hv,LS.overlay.teaming,4481300,,4444450,4528342,4466523,3946221,4529950,4518778,4543739,4597016,4004783,4495435,2300407,2287120,4000557,4218970,4481300
ESX-DP,test_tcp_crr_vm1_s4_tps,tps,hv-hv,LS.overlay.teaming,12472.46,,12390,12469,12303,12822,12501,12321,12305,12501,12769,12347,10075,9778,11608,11732,12472
ESX-DP,test_tcp_crr_vm1_s64_tps,tps,hv-hv,LS.overlay.teaming,40335.45,,40285,40274,39576,40220,40364,40053,40186,40366,40806,39951,23997,22913,38354,38425,40335
ESX-DP,test_tcp_crr_vm8_s4_tps,tps,hv-hv,LS.overlay.teaming,60786.08,,59827,59952,60486,56502,59912,59521,59728,60235,56481,59096,46041,48111,52795,55581,60786
ESX-DP,test_tcp_crr_vm8_s64_tps,tps,hv-hv,LS.overlay.teaming,148428.85,,146366,145874,146599,136966,146438,146442,146109,146743,137103,146512,103843,105916,131855,138297,148429
ESX-DP,test_tcp_stream_vm1_m16k_mbps,mbps,hv-hv,LS.overlay.teaming,8694.88,,8979,9047,8549,8551,8300,8559,8410,8996,8582,8967,9020,8352,8393,8379,8695
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host0,NCpu,hv-hv,LS.overlay.teaming,17.28,,22.44,23.1,16.76,19.41,17.8,16.71,19.18,21.66,17.95,23.08,25.83,21.91,22.36,19.44,17.28
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host1,NCpu,hv-hv,LS.overlay.teaming,28.87,,31.32,31.06,27.08,29.49,31.14,28.98,29.84,30.01,28.87,31.28,35.47,30.61,29.23,27.57,28.87
ESX-DP,test_tcp_stream_vm1_m64_mbps,mbps,hv-hv,LS.overlay.teaming,113.34,,110.55,114.13,112.96,118.78,108.29,108.56,110.33,114.27,117.36,110.81,90.17,85.87,112.77,103.9,113.34
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host0,NCpu,hv-hv,LS.overlay.teaming,2265.23,,2207,2208,2187,2526,2124,2248,2236,2202,2479,2220,3491,3063,2625,2338,2265
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host1,NCpu,hv-hv,LS.overlay.teaming,1894.66,,1842,1875,1883,2208,1838,1806,1870,1802,2249,1859,3078,2446,2321,2016,1895
ESX-DP,test_tcp_stream_vm8_m16k_mbps,mbps,hv-hv,LS.overlay.teaming,17941.87,,17896,17998,17896,17938,17928,18033,17874,18015,17831,17971,18020,17974,17950,17940,17942
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host0,NCpu,hv-hv,LS.overlay.teaming,37.89,,33.86,33.52,33.15,40.06,37.32,34.4,36.76,32.67,39.26,36.66,44.23,37.61,37.51,35.67,37.89
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host1,NCpu,hv-hv,LS.overlay.teaming,72.72,,67,68.7,65.35,79.94,73.41,68.79,71.4,65.28,79.13,74.55,84.94,73.94,78.8,70.04,72.72
ESX-DP,test_tcp_stream_vm8_m64_mbps,mbps,hv-hv,LS.overlay.teaming,561.09,,572.54,575.96,578.55,537.88,563.28,564.47,566.1,573.48,540.18,560.09,418.55,448.24,506.13,527.59,561.09
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host0,NCpu,hv-hv,LS.overlay.teaming,2268.18,,2248,2229,2250,2611,2319,2319,2305,2232,2605,2421,3553,3117,2782,2450,2268
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host1,NCpu,hv-hv,LS.overlay.teaming,1951.56,,2033,1958,1945,2279,1996,2006,1985,2008,2289,2005,3070,2644,2450,2153,1952
ESX-DP,test_tcp_rr_vm1_tps,tps,hv-hv,LS.overlay.teaming,40395.83,,40937,40670,40875,41292,40742,40499,39580,40121,41329,40795,32934,29555,40917,35450,40396
ESX-DP,test_tcp_rr_vm8_tps,tps,hv-hv,LS.overlay.teaming,190832.25,,189386,188352,191470,181064,190993,189092,191404,193149,181316,187801,153757,163130,169060,177320,190832
ESX-DP,test_udp_stream_vm1_m1024_FPS,FPS,hv-hv,LS-T1.overlay.teaming,552943,,550402,563997,562594,594571,568312,547994,548484,563921,595335,550963,269699,279762,583398,526793,552943
ESX-DP,test_udp_stream_vm1_m256_FPS,FPS,hv-hv,LS-T1.overlay.teaming,565184,,559877,549978,545824,669281,551585,566614,553621,551366,669874,562085,278663,292397,680754,558364,565184
ESX-DP,test_udp_stream_vm1_m64_FPS,FPS,hv-hv,LS-T1.overlay.teaming,612750,,608746,606823,607321,695876,610114,607512,610674,606503,694926,608798,279558,295317,685688,589457,612750
ESX-DP,test_udp_stream_vm8_m1024_FPS,FPS,hv-hv,LS-T1.overlay.teaming,2119687,,2069649,2064838,2078927,2084499,2080592,2112607,1985961,2094660,2124211,2100338,2095181,2100056,2143452,2138991,2119687
ESX-DP,test_udp_stream_vm8_m256_FPS,FPS,hv-hv,LS-T1.overlay.teaming,4019258,,4044439,4077552,4042969,3454567,4133200,4100860,4091968,4058569,3445197,4115287,2251745,2266023,3524526,3952071,4019258
ESX-DP,test_udp_stream_vm8_m64_FPS,FPS,hv-hv,LS-T1.overlay.teaming,4190887,,4329432,4179908,4220000,3689705,4309508,3821058,4309123,4320745,3666752,4288051,2302420,2283967,3748554,4114980,4190887
ESX-DP,test_tcp_crr_vm1_s4_tps,tps,hv-hv,LS-T1.overlay.teaming,12395.07,,12234,12356,12264,12810,12563,12287,12196,12458,12816,12287,9853,9980,11623,11670,12395
ESX-DP,test_tcp_crr_vm1_s64_tps,tps,hv-hv,LS-T1.overlay.teaming,40299.39,,39925,40213,39956,40385,40358,40058,40304,40356,40193,40346,22977,23562,37442,37335,40299
ESX-DP,test_tcp_crr_vm8_s4_tps,tps,hv-hv,LS-T1.overlay.teaming,60082.17,,59864,60115,59779,56702,59447,60037,59015,60264,56353,59765,45310,48112,52790,55745,60082
ESX-DP,test_tcp_crr_vm8_s64_tps,tps,hv-hv,LS-T1.overlay.teaming,146846.15,,146144,146152,146227,135505,145695,145468,145840,146338,135618,146188,102223,105742,131408,137461,146846
ESX-DP,test_tcp_stream_vm1_m16k_mbps,mbps,hv-hv,LS-T1.overlay.teaming,8716.89,,8554,8508,8532,9040,9012,8480,8547,8986,8948,9037,8992,8422,8447,8355,8717
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host0,NCpu,hv-hv,LS-T1.overlay.teaming,17.05,,16.72,17.86,16.76,22.99,21.73,16.78,16.6,21.88,23.58,21.91,27.75,23.4,23.68,19.63,17.05
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host1,NCpu,hv-hv,LS-T1.overlay.teaming,28.25,,26.54,28.04,27.98,35.48,30.18,28.28,28.06,31.61,34.48,30.68,36.7,33.15,29.87,27.07,28.25
ESX-DP,test_tcp_stream_vm1_m64_mbps,mbps,hv-hv,LS-T1.overlay.teaming,111.92,,110.02,111.01,105.95,116.3,111.92,111.57,112.48,108.94,120.52,112.51,91.49,88.11,105.92,107.99,111.92
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host0,NCpu,hv-hv,LS-T1.overlay.teaming,2220.86,,2227,2178,2151,2600,2254,2196,2252,2240,2557,2266,3454,2940,2807,2323,2221
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host1,NCpu,hv-hv,LS-T1.overlay.teaming,1901.95,,1870,1802,1831,2287,1850,1793,1826,1856,2233,1902,3028,2463,2304,2036,1902
ESX-DP,test_tcp_stream_vm8_m16k_mbps,mbps,hv-hv,LS-T1.overlay.teaming,17950.16,,17853,17879,17933,17945,17905,17874,17950,17856,17920,17958,18035,17946,18016,17834,17950
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host0,NCpu,hv-hv,LS-T1.overlay.teaming,32.23,,36.75,31.86,34.13,41,33.81,30.49,35.6,34.37,39.96,34.25,42.94,39.62,35.96,35.16,32.23
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host1,NCpu,hv-hv,LS-T1.overlay.teaming,63.34,,71.11,63.72,69.87,78.69,67.26,62.62,69.36,68.01,79.97,65.99,83.42,75.78,78.46,72.67,63.34
ESX-DP,test_tcp_stream_vm8_m64_mbps,mbps,hv-hv,LS-T1.overlay.teaming,571,,559.85,573.36,565.79,530.62,565.41,572.82,564.4,571.98,535.24,569.66,411.34,436.74,506.59,530.42,571
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host0,NCpu,hv-hv,LS-T1.overlay.teaming,2273.83,,2317,2244,2352,2623,2339,2259,2277,2255,2576,2287,3617,3279,2762,2430,2274
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host1,NCpu,hv-hv,LS-T1.overlay.teaming,1947.24,,2022,1967,1999,2292,1949,1951,2021,1939,2316,1977,3184,2801,2469,2203,1947
ESX-DP,test_tcp_rr_vm1_tps,tps,hv-hv,LS-T1.overlay.teaming,40497.99,,40274,40578,39639,41026,40595,40806,40055,40902,41222,40441,32241,29519,40588,35594,40498
ESX-DP,test_tcp_rr_vm8_tps,tps,hv-hv,LS-T1.overlay.teaming,192423.02,,191108,191372,190539,180668,188867,191551,190663,192070,180832,189380,152166,159735,168545,179234,192423
ESX-DP,test_udp_stream_vm1_m1024_FPS,FPS,hv-hv,T1-T0.overlay.teaming,540681,,555828,556254,538660,579693,555924,551760,539067,542238,577375,540270,274288,277325,540015,518945,540681
ESX-DP,test_udp_stream_vm1_m256_FPS,FPS,hv-hv,T1-T0.overlay.teaming,551102,,543484,538929,552637,688669,540817,537670,547861,547961,671649,556687,280724,286778,683592,550997,551102
ESX-DP,test_udp_stream_vm1_m64_FPS,FPS,hv-hv,T1-T0.overlay.teaming,596643,,597012,595206,597017,690329,595347,592478,597321,597766,674690,596851,282380,279527,688421,575029,596643
ESX-DP,test_udp_stream_vm8_m1024_FPS,FPS,hv-hv,T1-T0.overlay.teaming,2098972,,2072970,2095096,2129039,2110505,2099927,2115465,2095044,2087941,2089573,2060897,2050282,2087087,2111090,2100235,2098972
ESX-DP,test_udp_stream_vm8_m256_FPS,FPS,hv-hv,T1-T0.overlay.teaming,4011713,,3990940,3881236,4003015,3423811,4032740,4003978,4026089,4052515,3431818,3478446,2226770,2262547,3628995,3724782,4011713
ESX-DP,test_udp_stream_vm8_m64_FPS,FPS,hv-hv,T1-T0.overlay.teaming,4129707,,4189725,3840668,4184812,3644373,4183272,4188178,4258367,4144055,3634646,3823801,2288630,2237640,3741844,4057518,4129707
ESX-DP,test_tcp_crr_vm1_s4_tps,tps,hv-hv,T1-T0.overlay.teaming,12349.28,,12328,12290,12331,12711,12486,12342,12265,12351,12707,12263,9690,9679,11732,11837,12349
ESX-DP,test_tcp_crr_vm1_s64_tps,tps,hv-hv,T1-T0.overlay.teaming,40087.23,,40377,40337,40566,40184,40291,39645,40516,40256,40312,40139,21356,22578,38294,38747,40087
ESX-DP,test_tcp_crr_vm8_s4_tps,tps,hv-hv,T1-T0.overlay.teaming,60567.75,,59180,58497,59511,56798,59539,60005,60176,59449,56197,59075,45303,48139,52903,55515,60568
ESX-DP,test_tcp_crr_vm8_s64_tps,tps,hv-hv,T1-T0.overlay.teaming,146712.25,,145662,144908,145723,135695,145429,145509,145753,145081,136010,145818,102921,106387,132098,138080,146712
ESX-DP,test_tcp_stream_vm1_m16k_mbps,mbps,hv-hv,T1-T0.overlay.teaming,8646.62,,8565,8519,8775,8624,8590,9028,8596,8559,8638,8969,8965,9044,9017,8444,8647
